Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Madeira,Funchal,FNC,LPMA,Portugal,32.697889,-16.774453,192
Garons,Nimes,FNI,LFTW,France,43.757444,4.416347,309
Fenosu,Oristano,FNU,LIER,Italy,39.895,8.6383,36
Gino Lisa,Foggia,FOG,LIBF,Italy,41.432917,15.535028,266
Frankfurt Main,Frankfurt,FRA,EDDF,Germany,50.026421,8.543125,364
Frejus Saint Raphael,Frejus,FRJ,LFTU,France,43.416667,6.733333,7
Forli,Forli,FRL,LIPK,Italy,44.194753,12.070094,97
Floro,Floro,FRO,ENFL,Norway,61.583611,5.024722,37
Sud Corse,Figari,FSC,LFKF,France,41.500557,9.097777,87
Fussen,Fussen,FUS,FUSS,Germany,47.585,10.6866,800
Fussen BF,Fussen,FUX,FUSN,Germany,47.585,10.6866,1200
Bristol Filton,Bristol,FZO,EGTG,United Kingdom,51.519444,-2.590833,226
Guernsey,Guernsey,GCI,EGJB,Guernsey,49.434956,-2.601969,336
Lech Walesa,Gdansk,GDN,EPGD,Poland,54.377569,18.466222,489
Gallivare,Gallivare,GEV,ESNG,Sweden,67.132408,20.814636,1027
Granville,Granville,GFR,LFRF,France,48.883057,-1.564167,45
Giebelstadt Aaf,Giebelstadt,GHF,ETEU,Germany,49.648131,9.966494,980
Gibraltar,Gibraltar,GIB,LXGB,Gibraltar,36.151219,-5.349664,15
Geilenkirchen,Geilenkirchen,GKE,ETNG,Germany,50.960817,6.042422,296
Glasgow,Glasgow,GLA,EGPF,United Kingdom,55.871944,-4.433056,26
Gloucestershire,Golouchestershire,GLO,EGBJ,United Kingdom,51.894167,-2.167222,101
Gomel,Gomel,GME,UMGG,Belarus,52.527022,31.016692,471
Gostomel Antonov,Kiev,GML,UKKM,Ukraine,50.603611,30.191944,517
Hrodno Airport,Hrodna,GNA,UMMG,Belarus,53.602,24.0538,443
Saint Geoirs,Grenoble,GNB,LFLS,France,45.362944,5.329375,1302
Sanliurfa GAP,Sanliurfa,GNY,LTCS,Turkey,37.45,38.9,2700
Genova Sestri,Genoa,GOA,LIMJ,Italy,44.413333,8.8375,13
Nizhny Novgorod,Nizhniy Novgorod,GOJ,UWGG,Russia,56.230119,43.784042,256
Landvetter,Gothenborg,GOT,ESGG,Sweden,57.662836,12.279819,506
Gorna Oryahovitsa,Gorna Orechovica,GOZ,LBGO,Bulgaria,43.151444,25.712889,285
Araxos,Patras,GPA,LGRX,Greece,38.151111,21.425556,46
Girona,Gerona,GRO,LEGE,Spain,41.900969,2.760547,468
Eelde,Groningen,GRQ,EHGG,Netherlands,53.11972,6.579444,17
Grosseto,Grosseto,GRS,LIRS,Italy,42.759747,11.071897,15
Grozny Airport,Grozny,GRV,URMG,Russia,43.2981,45.7841,548
Granada,Granada,GRX,LEGR,Spain,37.188731,-3.777356,1860
Graz,Graz,GRZ,LOWG,Austria,46.991067,15.439628,1115
Save,Gothenborg,GSE,ESGP,Sweden,57.774722,11.870372,59
Guettin MecklenburgVorpommern Germany,Ruegen,GTI,EDCG,Germany,54.383333,13.325278,69
Gutersloh,Guetersloh,GUT,ETUO,Germany,51.922833,8.306333,236
Geneve Cointrin,Geneva,GVA,LSGG,Switzerland,46.238064,6.10895,1411
Gavle,Gavle,GVX,ESSK,Sweden,60.593333,16.951389,224
Westerland Sylt,Westerland,GWT,EDXW,Germany,54.91325,8.340472,51
Galway,Galway,GWY,EICM,Ireland,53.300175,-8.941592,81
Xewkija Heliport,Gozo,GZM,LMMG,Malta,36.027222,14.272778,300
Gazipasa Airport,Alanya,GZP,LTFG,Turkey,36.2993,32.3014,92
Oguzeli,Gaziantep,GZT,LTAJ,Turkey,36.947183,37.478683,2315
Hasvik,Hasvik,HAA,ENHK,Norway,70.486675,22.139744,21
Halmstad,Halmstad,HAD,ESMT,Sweden,56.691128,12.820211,101
Hannover,Hannover,HAJ,EDDV,Germany,52.461056,9.685078,183
Hamburg,Hamburg,HAM,EDDH,Germany,53.630389,9.988228,53
Karmoy,Haugesund,HAU,ENHD,Norway,59.345267,5.208364,86
Heidelberg,Heidelberg,HDB,EDIU,Germany,49.393333,8.6525,0
Heringsdorf Airport,Heringsdorf,HDF,EDAH,Germany,53.878706,14.152347,93
Heide-Büsum Airport,Büsum,HEI,EDXB,Germany,54.1533,8.90167,7
Helsinki Vantaa,Helsinki,HEL,EFHK,Finland,60.317222,24.963333,179
Helsinki Malmi,Helsinki,HEM,EFHF,Finland,60.254558,25.042828,57
Hernesaari Heliport,Helsinki,HEN,EFHE,Finland,60.1478,24.9244,7
Nikos Kazantzakis,Heraklion,HER,LGIR,Greece,35.339719,25.180297,115
Hagfors Airport,Hagfors,HFS,ESOH,Sweden,60.020064,13.578908,474
Hammerfest Airport,Hammerfest,HFT,ENHF,Norway,70.679722,23.668889,799
Frankfurt Hahn,Hahn,HHN,EDFH,Germany,49.948672,7.263892,1649
Uzundzhovo,Haskovo,HKV,LB14,Bulgaria,41.976375,25.589817,160
Hultsfred,Hultsfred,HLF,ESSF,Sweden,57.525833,15.823333,366
Barysiai,Barysiai,HLJ,EYSB,Lithuania,56.070556,23.558056,270
Anglesey Airport,Angelsey,HLY,EGOV,United Kingdom,53.248097,-4.535339,37
Khmeinitskiy,Khmeinitskiy,HMJ,UKLH,Ukraine,49.366,26.933,351
Stafsberg Airport,Hamar,HMR,ENHA,Norway,60.8181,11.068,713
Hemavan Airport,Hemavan,HMV,ESUT,Sweden,65.806111,15.082778,1503
Hohenems,Hohenems,HOJ,LOIH,Austria,47.385,9.7,412
Hof Plauen,Hof,HOQ,EDQM,Germany,50.288836,11.854919,1960
Hovden,Orsta-Volda,HOV,ENOV,Norway,62.18,6.0742,242
Osnova International Airport,Kharkov,HRK,UKHH,Ukraine,49.924786,36.289986,508
Huesca-Pirineos Airport,Huesca,HSK,LEHC,Spain,42.080833,-0.323333,1768
Hatay Airport,Hatay,HTY,LTDA,Turkey,36.362778,36.282222,25
Hudiksvall,Hudiksvall,HUV,ESNH,Sweden,61.768092,17.080719,95
Humberside,Humberside,HUY,EGNJ,United Kingdom,53.574444,-0.350833,121
Valan,Honningsvag,HVG,ENHV,Norway,70.99,25.83,46
Hyvinkaa,Hyvinkaa,HYV,EFHV,Finland,60.654444,24.881111,430
Tunoshna,Yaroslavl,IAR,UUDL,Russia,57.56066668,40.15736945,270
Iasi,Iasi,IAS,LRIA,Romania,47.178492,27.620631,397
Ibiza,Ibiza,IBZ,LEIB,Spain,38.872858,1.373117,20
Île d'Yeu Airport,Île d'Yeu,IDY,LFEY,France,46.718611,-2.391111,79
Babimost,Zielona Gora,IEG,EPZG,Poland,52.138517,15.798556,194
Zhuliany Intl,Kiev,IEV,UKKK,Ukraine,50.401694,30.449697,586
Ivano Frankivsk International Airport,Ivano-Frankivsk,IFO,UKLI,Ukraine,48.884167,24.686111,919
Igdir,Igdir,IGD,LTCT,Turkey,39.983056,43.866389,3100
Cigli,Izmir,IGL,LTBL,Turkey,38.513022,27.010053,16
Ingolstadt BF,Ingolstadt,IGS,INGS,Germany,48.7777,11.422,888
Inishmaan Aerodrome,Inishmaan,IIA,EIMN,Ireland,53.091944,-9.57,13
Izhevsk Airport,Izhevsk,IJK,USII,Russia,56.8281,53.4575,531
Lleida-Alguaire Airport,Lleida,ILD,LEDA,Spain,41.727778,0.535833,1148
Islay,Islay,ILY,EGPI,United Kingdom,55.681944,-6.256667,56
Žilina Airport,Žilina,ILZ,LZZI,Slovakia,49.231528,18.6135,1020
Nis,Nis,INI,LYNI,Serbia,43.337289,21.853722,648
Innsbruck,Innsbruck,INN,LOWI,Austria,47.260219,11.343964,1906
Inisheer,Inisheer,INQ,EIIR,Ireland,53.0647,-9.5109,40
